DOBEC;OBEC;OKRES;PSC;DPOSTA;POSTA;KOD_OKR;KRAJ;PSC_bez
Jed¾ovník;Jed¾ovník;Èadca;023 55;Vysoká nad Kysucou;Vysoká nad Kysucou;502;ZI;02355
Jelenec;Jelenec;Nitra;951 73;Jelenec;Jelenec;403;NI;95173
Jelka;Jelka;Galanta;925 23;Jelka;Jelka;202;TA;92523
Jelšava;Jelšava;Revúca;049 16;Jelšava;Jelšava;608;BC;04916
Jelšavská Teplica;Jelšavská Teplica;Revúca;049 16;Jelšava;Jelšava;608;BC;04916
Jelšovce;Jelšovce;Nitra;951 43;Jelšovce;Jelšovce;403;NI;95143
Jelšovec;Jelšovec;Luèenec;985 32;Ve¾ká nad Ip¾om;Ve¾ká nad Ip¾om;606;BC;98532
Jenkovce;Jenkovce;Sobrance;072 52;Jenkovce;Jenkovce;809;KI;07252
Jergaly;Jergaly;Banská Bystrica;976 02;Staré Hory;Staré Hory;601;BC;97602
Jesenské;Jesenské;Levice;935 36;Beša;Beša;402;NI;93536
Jesenské;Jesenské;Rimavská Sobota;980 02;Jesenské;Jesenské;609;BC;98002
Jestice;Jestice;Rimavská Sobota;980 04;Hostice;Hostice;609;BC;98004
Ješkova Ves;Ješkova Ves;Partizánske;958 45;Ve¾kı Klí;Ve¾kı Klí;305;TC;95845
Ješkova Ves nad Nitricou;Ješkova Ves n/N.;Prievidza;972 25;Diviaky nad Nitricou;Diviaky nad Nitricou;307;TC;97225
Jezersko;Jezersko;Kemarok;059 04;Spišské Hanušovce;Spišské Hanušovce;703;PV;05904
Jovice;Jovice;Roòava;049 45;Krásnohorská Dlhá Lúka;Krásnohor.Dlhá Lúka;808;KI;04945
Jovsa;Jovsa;Michalovce;072 32;Jovsa;Jovsa;807;KI;07232
Jur nad Hronom;Jur nad Hronom;Levice;935 57;Jur nad Hronom;Jur nad Hronom;402;NI;93557
Jurkova Vo¾a;Jurkova Vo¾a;Svidník;089 01;Svidník;Svidník;712;PV;08901
Jurová;Jurová;Dunajská Streda;930 04;Baka;Baka;201;TA;93004
Jurské;Jurské;Kemarok;059 94;Holumnica;Holumnica;703;PV;05994
Jurskı Chlm;Jurskı Chlm;Nové Zámky;943 52;Mula;Mula;404;NI;94352
Juskova Vo¾a;Juskova Vo¾a;Vranov nad Top¾ou;094 12;Vechec;Vechec;713;PV;09412
Kaèanov;Kaèanov;Michalovce;072 05;Bracovce;Bracovce;807;KI;07205
Kaèe;Kaèe;Stará ¼ubovòa;065 22;Mníšek nad Popradom;Mníšek nad Popradom;710;PV;06522
Kajal;Kajal;Galanta;925 92;Kajal;Kajal;202;TA;92592
Ka¾amenová;Ka¾amenová;Turèianske Teplice;038 22;Slovenské Pravno;Slovenské Pravno;509;ZI;03822
Kalameny;Kalameny;Ruomberok;034 82;Lúèky pri Ruomberku;Lúèky pri Ruomberku;508;ZI;03482
Ka¾ava;Ka¾ava;Spišská Nová Ves;053 42;Krompachy;Krompachy;810;KI;05342
Kalinèiakovo;Kalinèiakovo;Levice;934 01;Levice 1;Levice 1;402;NI;93401
Kalinka;Kalinka;Detva;962 25;Slatinské Lazy;Slatinské Lazy;604;BC;96225
Kalinkovo;Kalinkovo;Senec;900 43;Hamuliakovo;Hamuliakovo;108;BL;90043
Kalinov;Kalinov;Èadca;023 02;Krásno nad Kysucou;Krásno nad Kysucou;502;ZI;02302
Kalinov;Kalinov;Medzilaborce;068 01;Medzilaborce;Medzilaborce;705;PV;06801
Kalinovo;Kalinovo;Poltár;985 01;Kalinovo;Kalinovo;607;BC;98501
Kalná;Kalná;Levice;935 32;Kalná nad Hronom;Kalná nad Hronom;402;NI;93532
Kalná nad Hronom;Kalná nad Hronom;Levice;935 32;Kalná nad Hronom;Kalná nad Hronom;402;NI;93532
