DOBEC;OBEC;OKRES;PSC;DPOSTA;POSTA;KOD_OKR;KRAJ;PSC_bez
Borèany;Borèany;Bánovce nad Bebravou;956 36;Rybany;Rybany;301;TC;95636
Borèice;Borèice;Ilava;018 53;Bolešov;Bolešov;302;TC;01853
Borda;Borda;Košice-okolie;044 45;Bidovce;Bidovce;806;KI;04445
Borinka;Borinka;Malacky;900 32;Borinka pri Bratislave;Borinka pri Brat.;106;BL;90032
Borov;Borov;Medzilaborce;068 01;Medzilaborce;Medzilaborce;705;PV;06801
Borová;Borová;Trnava;919 61;Ruindol;Ruindol;207;TA;91961
Borovce;Borovce;Piešany;922 09;Borovce;Borovce;204;TA;92209
Borskı Mikuláš;Borskı Mikuláš;Senica;908 77;Borskı Mikuláš;Borskı Mikuláš;205;TA;90877
Borskı Peter;Borskı Peter;Senica;908 77;Borskı Mikuláš;Borskı Mikuláš;205;TA;90877
Borskı Svätı Jur;Borskı Svätı Jur;Senica;908 79;Borskı Svätı Jur;Borskı Svätı Jur;205;TA;90879
Borša;Borša;Trebišov;076 32;Borša;Borša;811;KI;07632
Bory;Bory;Levice;935 87;Santovka;Santovka;402;NI;93587
Bošáca;Bošáca;Nové Mesto n.Váhom;913 07;Bošáca;Bošáca;304;TC;91307
Bošany;Bošany;Partizánske;956 18;Bošany;Bošany;305;TC;95618
Bošianska Neporadza;Bošianska Neporadza;Trenèín;913 26;Motešice;Motešice;309;TC;91326
Boany;Boany;Trebišov;076 43;Èierna nad Tisou;Èierna nad Tisou;811;KI;07643
Bottovo;Bottovo;Rimavská Sobota;980 41;Dubovec;Dubovec;609;BC;98041
Boèice;Boèice;Trebišov;076 62;Parchovany;Parchovany;811;KI;07662
Bôrka;Bôrka;Roòava;049 42;Drnava;Drnava;808;KI;04942
Bracovce;Bracovce;Michalovce;072 05;Bracovce;Bracovce;807;KI;07205
Brádno;Brádno;Rimavská Sobota;982 67;Rovné;Rovné;609;BC;98267
Branè;Branè;Nitra;951 13;Branè;Branè;403;NI;95113
Branovo;Branovo;Nové Zámky;941 31;Dvory nad itavou;Dvory nad itavou;404;NI;94131
Bratislava;Bratislava;Bratislava I;;;Pozri zoz.ulíc s PSÈ;101;BL;
Bratislava - Èunovo;Èunovo;Bratislava V;851 10;Bratislava 59;Bratislava 59;105;BL;85110
Bratislava - Devín;Devín;Bratislava IV;841 10;Bratislava 49;Bratislava 49;104;BL;84110
Bratislava - Devínska Nová Ves;Devínska Nová Ves;Bratislava IV;;;Poz.zoz.ulíc Bratis.;104;BL;
Bratislava - Dúbravka;Dúbravka;Bratislava IV;;;Poz.zoz.ulíc Bratis.;104;BL;
Bratislava - Jarovce;Jarovce;Bratislava V;851 10;Bratislava 59;Bratislava 59;105;BL;85110
Bratislava - Karlova Ves;Karlova Ves;Bratislava IV;;;Poz.zoz.ulíc Bratis.;104;BL;
Bratislava - Lamaè;Lamaè;Bratislava IV;841 03;Bratislava 42;Bratislava 42;104;BL;84103
Bratislava - Nové Mesto;Nové Mesto;Bratislava III;;;Poz.zoz.ulíc Bratis.;103;BL;
Bratislava - Petralka;Petralka;Bratislava V;;;Poz.zoz.ulíc Bratis.;105;BL;
Bratislava - Podunajské Biskupice;Podunajské Biskupice;Bratislava II;821 06;Bratislava 214;Bratislava 214;102;BL;82106
Bratislava - Raèa;Raèa;Bratislava III;;;Poz.zoz.ulíc Bratis.;103;BL;
Bratislava - Rusovce;Rusovce;Bratislava V;851 10;Bratislava 59;Bratislava 59;105;BL;85110
Bratislava - Ruinov;Ruinov;Bratislava II;;;Poz.zoz.ulíc Bratis.;102;BL;
Bratislava - Staré Mesto;Staré Mesto;Bratislava I;;;Poz.zoz.ulíc Bratis.;101;BL;
Bratislava - Vajnory;Vajnory;Bratislava III;831 07;Bratislava 36;Bratislava 36;103;BL;83107
Bratislava - Vrakuòa;Vrakuòa;Bratislava II;821 07;Bratislava 214;Bratislava 214;102;BL;82107
Bratislava - Záhorská Bystrica;Záhorská Bystrica;Bratislava IV;841 06;Bratislava 48;Bratislava 48;104;BL;84106
Bratkovica;Bratkovica;Detva;962 05;Hriòová;Hriòová;604;BC;96205
Braväcovo;Braväcovo;Brezno;976 64;Beòuš;Beòuš;603;BC;97664
Brdárka;Brdárka;Roòava;049 34;Markuška;Markuška;808;KI;04934
Brehov;Brehov;Trebišov;076 05;Cejkov;Cejkov;811;KI;07605
Brehy;Brehy;arnovica;968 01;Nová Baòa;Nová Baòa;612;BC;96801
Brekov;Brekov;Humenné;066 01;Humenné 1;Humenné 1;702;PV;06601
Brestina;Brestina;Luèenec;985 53;Mıtna;Mıtna;606;BC;98553
Brestov;Brestov;Humenné;066 01;Humenné 1;Humenné 1;702;PV;06601
Brestov;Brestov;Prešov;082 05;Šarišské Bohdanovce;Šarišské Bohdanovce;707;PV;08205
Brestov nad Laborcom;Brestov nad Laborcom;Medzilaborce;067 01;Radvaò nad Laborcom;Radvaò nad Laborcom;705;PV;06701
Brestovany;Brestovany;Trnava;919 27;Brestovany;Brestovany;207;TA;91927
Brestové;Brestové;Nové Mesto n.Váhom;916 42;Moravské Lieskové;Moravské Lieskové;304;TC;91642
Brestovec;Brestovec;Myjava;907 01;Myjava 1;Myjava 1;303;TC;90701
Brestovec;Brestovec;Komárno;946 17;Sokolce na Ostrove;Sokolce na Ostrove;401;NI;94617
Bretejovce;Bretejovce;Prešov;082 03;Lemešany;Lemešany;707;PV;08203
Bretka;Bretka;Roòava;980 46;Gemerská Panica;Gemerská Panica;808;KI;98046
Breza;Breza;Námestovo;029 53;Breza;Breza;507;ZI;02953
Brezany;Brezany;Prievidza;972 12;Nedoery;Nedoery;307;TC;97212
Brezany;Brezany;ilina;010 04;ilina 4;ilina 4;511;ZI;01004
Brezina;Brezina;Trebišov;076 12;Kuzmice;Kuzmice;811;KI;07612
Breziny;Breziny;Zvolen;962 61;Dobrá Niva;Dobrá Niva;611;BC;96261
Breznica;Breznica;Stropkov;091 01;Stropkov;Stropkov;711;PV;09101
Breznièka;Breznièka;Poltár;985 02;Breznièka;Breznièka;607;BC;98502
Breznièka;Breznièka;Stropkov;091 01;Stropkov;Stropkov;711;PV;09101
Brezno;Brezno;Brezno;;;Pozri zoz.ulíc s PSÈ;603;BC;
Brezolupy;Brezolupy;Bánovce nad Bebravou;957 01;Bánovce nad Bebravou 1;Bánovce nad Beb. 1;301;TC;95701
Brezov;Brezov;Bardejov;087 01;Giraltovce;Giraltovce;701;PV;08701
Brezová pod Bradlom;Brezová pod Bradlom;Myjava;906 13;Brezová pod Bradlom;Brezová pod Bradlom;303;TC;90613
Brezovec;Brezovec;Snina;067 73;Ub¾a;Ub¾a;709;PV;06773
Brezovica;Brezovica;Sabinov;082 74;Brezovica nad Torysou;Brezovica nad Torys.;708;PV;08274
Brezovica;Brezovica;Tvrdošín;028 01;Trstená;Trstená;510;ZI;02801
Brezovièka;Brezovièka;Sabinov;082 74;Brezovica nad Torysou;Brezovica nad Torys.;708;PV;08274
Brezovka;Brezovka;Bardejov;086 11;Hrabovec;Hrabovec;701;PV;08611
Breany;Breany;Prešov;082 41;Bajerov;Bajerov;707;PV;08241
Brhlovce;Brhlovce;Levice;935 02;emberovce;emberovce;402;NI;93502
Briestenné;Briestenné;Povaská Bystrica;018 22;Pruina;Pruina;306;TC;01822
Brieštie;Brieštie;Turèianske Teplice;038 22;Slovenské Pravno;Slovenské Pravno;509;ZI;03822
Brišovka;Brišovka;Námestovo;029 57;Oravská Lesná;Oravská Lesná;507;ZI;02957
Brnice;Brnice;Liptovskı Mikuláš;032 23;Liptovská Sielnica;Liptovská Sielnica;505;ZI;03223
Brodno;Brodno;ilina;010 14;ilina 14;ilina 14;511;ZI;01014
Brodské;Brodské;Skalica;908 85;Brodské;Brodské;206;TA;90885
Brodzany;Brodzany;Partizánske;958 42;Brodzany;Brodzany;305;TC;95842
Bršlica;Bršlica;Bytèa;013 54;Kolárovice;Kolárovice;501;ZI;01354
Bruchaèka;Bruchaèka;Brezno;976 51;Horná Lehota pri Brezne;Hor.Lehota pri Brez.;603;BC;97651
Brunovce;Brunovce;Nové Mesto n.Váhom;916 25;Potvorice;Potvorice;304;TC;91625
Brusnica;Brusnica;Stropkov;090 31;Kolbovce;Kolbovce;711;PV;09031
Brusník;Brusník;Revúca;982 65;Ratková;Ratková;608;BC;98265
Brusník;Brusník;Ve¾kı Krtíš;991 01;Senné;Senné;610;BC;99101
Brusno;Brusno;Banská Bystrica;976 62;Brusno;Brusno;601;BC;97662
Brusno;Brusno;Prievidza;972 32;Chrenovec;Chrenovec;307;TC;97232
Brusno - kúpele;Brusno - kúpele;Banská Bystrica;976 62;Brusno;Brusno;601;BC;97662
Brutovce;Brutovce;Levoèa;053 73;Brutovce;Brutovce;704;PV;05373
Bruty;Bruty;Nové Zámky;943 55;Bruty;Bruty;404;NI;94355
Brvnište;Brvnište;Povaská Bystrica;018 12;Brvnište;Brvnište;306;TC;01812
Brzotín;Brzotín;Roòava;049 51;Brzotín;Brzotín;808;KI;04951
Buclovany;Buclovany;Bardejov;086 43;Koprivnica;Koprivnica;701;PV;08643
Búè;Búè;Komárno;946 35;Búè;Búè;401;NI;94635
Buèany;Buèany;Trnava;919 28;Buèany;Buèany;207;TA;91928
Buèina;Buèina;Námestovo;029 57;Oravská Lesná;Oravská Lesná;507;ZI;02957
Buèkovec;Buèkovec;Nové Mesto n.Váhom;916 42;Moravské Lieskové;Moravské Lieskové;304;TC;91642
Buèuháza;Buèuháza;Dunajská Streda;931 01;Šamorín;Šamorín;201;TA;93101
Budatín;Budatín;ilina;010 03;ilina 3;ilina 3;511;ZI;01003
Budatínska Lehota;Budatínska Lehota;Kysucké Nové Mesto;023 36;Rado¾a;Rado¾a;504;ZI;02336
Budèa;Budèa;Zvolen;962 33;Budèa;Budèa;611;BC;96233
Budièka;Budièka;Zvolen;962 34;Tànie;Tànie;611;BC;96234
Budikovany;Budikovany;Rimavská Sobota;980 23;Teplı Vrch;Teplı Vrch;609;BC;98023
Budimír;Budimír;Košice-okolie;044 43;Budimír;Budimír;806;KI;04443
Budiná;Budiná;Luèenec;985 12;Tuhár;Tuhár;606;BC;98512
Budince;Budince;Michalovce;076 77;Ruská;Ruská;807;KI;07677
Budiš;Budiš;Turèianske Teplice;038 23;Dubové pri Turèianskych Tepliciach;Dubové pri Turè.Tep.;509;ZI;03823
Budkovce;Budkovce;Michalovce;072 15;Budkovce;Budkovce;807;KI;07215
Budmerice;Budmerice;Pezinok;900 86;Budmerice;Budmerice;107;BL;90086
Budulov;Budulov;Košice-okolie;045 01;Moldava nad Bodvou;Moldava nad Bodvou;806;KI;04501
Budzín;Budzín;Sabinov;082 71;Lipany nad Torysou;Lipany nad Torysou;708;PV;08271
Buglovce;Buglovce;Levoèa;053 04;Spišské Podhradie;Spišské Podhradie;704;PV;05304
Bujakovo;Bujakovo;Brezno;977 01;Brezno;Brezno;603;BC;97701
Buková;Buková;Trnava;919 10;Buková pri Trnave;Buková pri Trnave;207;TA;91910
Buková;Buková;Bytèa;013 61;Kotešová;Kotešová;501;ZI;01361
Bukovce;Bukovce;Stropkov;090 22;Bukovce;Bukovce;711;PV;09022
Bukovec;Bukovec;Myjava;906 14;Bukovec pri Myjave;Bukovec pri Myjave;303;TC;90614
Bukovec;Bukovec;Ve¾kı Krtíš;991 02;Dolná Strehová;Dolná Strehová;610;BC;99102
Bukovec;Bukovec;Košice-okolie;044 20;Malá Ida;Malá Ida;806;KI;04420
Bukovina;Bukovina;iar nad Hronom;966 01;Hliník nad Hronom;Hliník nad Hronom;613;BC;96601
Bukovina;Bukovina;Liptovskı Mikuláš;032 23;Liptovská Sielnica;Liptovská Sielnica;505;ZI;03223
Bukovina;Bukovina;arnovica;968 01;Nová Baòa;Nová Baòa;612;BC;96801
Bukovinka;Bukovinka;Detva;985 51;Podkriváò;Podkriváò;604;BC;98551
Bukovinka;Bukovinka;Levoèa;053 14;Spišskı Štvrtok;Spišskı Štvrtok;704;PV;05314
Bulhary;Bulhary;Luèenec;986 01;Fi¾akovo;Fi¾akovo;606;BC;98601
Bunde;Bunde;Prešov;082 33;Chminianska Nová Ves;Chminianska Nová Ves;707;PV;08233
Bunetice;Bunetice;Košice-okolie;044 47;Kecerovce;Kecerovce;806;KI;04447
Bunkovce;Bunkovce;Sobrance;072 44;Blatné Remety;Blatné Remety;809;KI;07244
Bušince;Bušince;Ve¾kı Krtíš;991 22;Bušince;Bušince;610;BC;99122
Bušovce;Bušovce;Kemarok;059 93;Bušovce;Bušovce;703;PV;05993
Búštelek;Búštelek;Dunajská Streda;930 39;Zlaté Klasy;Zlaté Klasy;201;TA;93039
Butty;Butty;Èadca;022 04;Èadca 4;Èadca 4;502;ZI;02204
Buzica;Buzica;Košice-okolie;044 73;Buzica;Buzica;806;KI;04473
Buzice;Buzice;Košice-okolie;044 13;Valaliky;Valaliky;806;KI;04413
Buzitka;Buzitka;Luèenec;985 41;Šávo¾;Šávo¾;606;BC;98541
Byster;Byster;Košice-okolie;044 41;Sady nad Torysou;Sady nad Torysou;806;KI;04441
Bystrá;Bystrá;Brezno;977 01;Brezno;Brezno;603;BC;97701
Bystrá;Bystrá;Stropkov;090 23;Havaj;Havaj;711;PV;09023
Bystrany;Bystrany;Spišská Nová Ves;053 62;Bystrany pri Spišskej Novej Vsi;Bystrany pri S.N.Vsi;810;KI;05362
Bystré;Bystré;Vranov nad Top¾ou;094 34;Bystré nad Top¾ou;Bystré nad Top¾ou;713;PV;09434
Bystrièany;Bystrièany;Prievidza;972 45;Bystrièany;Bystrièany;307;TC;97245
Bystrièka;Bystrièka;Martin;038 04;Bystrièka;Bystrièka;506;ZI;03804
Bystrièka;Bystrièka;Komárno;946 38;Radvaò nad Dunajom;Radvaò nad Dunajom;401;NI;94638
Bystrièka;Bystrièka;Poltár;985 24;Rovòany;Rovòany;607;BC;98524
Byšta;Byšta;Trebišov;076 13;Kazimír;Kazimír;811;KI;07613
Bytèa;Bytèa;Bytèa;014 01;Bytèa 1;Bytèa 1;501;ZI;01401
Bytèica;Bytèica;ilina;010 09;ilina 9;ilina 9;511;ZI;01009
Bzenica;Bzenica;iar nad Hronom;966 01;Hliník nad Hronom;Hliník nad Hronom;613;BC;96601
Bzenov;Bzenov;Prešov;082 42;Bzenov;Bzenov;707;PV;08242
Bzince;Bzince;Topo¾èany;956 05;Radošina;Radošina;406;NI;95605
Bzince pod Javorinou;Bzince pod Javorinou;Nové Mesto n.Váhom;916 11;Bzince pod Javorinou;Bzince pod Javorinou;304;TC;91611
Bziny;Bziny;Dolnı Kubín;026 01;Dolnı Kubín 1;Dolnı Kubín 1;503;ZI;02601
Bzovík;Bzovík;Krupina;962 41;Bzovík;Bzovík;605;BC;96241
Bzovská Lehôtka;Bzovská Lehôtka;Zvolen;962 62;Sása;Sása;611;BC;96262
Bany;Bany;Stropkov;090 33;Turany nad Ondavou;Turany nad Ondavou;711;PV;09033
Cabaj;Cabaj;Nitra;951 17;Cabaj- Èápor;Cabaj- Èápor;403;NI;95117
Cabaj - Èápor;Cabaj - Èápor;Nitra;951 17;Cabaj- Èápor;Cabaj- Èápor;403;NI;95117
Cabov;Cabov;Vranov nad Top¾ou;094 14;Seèovská Polianka;Seèovská Polianka;713;PV;09414
Cakov;Cakov;Rimavská Sobota;980 42;Rimavská Seè;Rimavská Seè;609;BC;98042
Cejkov;Cejkov;Trebišov;076 05;Cejkov;Cejkov;811;KI;07605
Celulózka;Celulózka;ilina;010 01;ilina 1;ilina 1;511;ZI;01001
Cemjata;Cemjata;Prešov;080 01;Prešov 1;Prešov 1;707;PV;08001
Cernina;Cernina;Svidník;090 16;Cernina;Cernina;712;PV;09016
Cerová;Cerová;Senica;906 33;Cerová;Cerová;205;TA;90633
Cerová;Cerová;Prievidza;972 48;Horná Ves;Horná Ves;307;TC;97248
Ceroviny;Ceroviny;Nitra;951 24;Nové Sady pri Nitre;Nové Sady pri Nitre;403;NI;95124
Cerovo;Cerovo;Krupina;962 52;Cerovo pri Krupine;Cerovo pri Krupine;605;BC;96252
Cestice;Cestice;Košice-okolie;044 71;Èeèejovce;Èeèejovce;806;KI;04471
Cetuna;Cetuna;Nové Mesto n.Váhom;916 11;Bzince pod Javorinou;Bzince pod Javorinou;304;TC;91611
Cífer;Cífer;Trnava;919 43;Cífer;Cífer;207;TA;91943
Cige¾;Cige¾;Prievidza;971 01;Prievidza 1;Prievidza 1;307;TC;97101
Cige¾ka;Cige¾ka;Bardejov;086 02;Gaboltov;Gaboltov;701;PV;08602
Cigla;Cigla;Svidník;086 37;Šarišské Èierne;Šarišské Èierne;712;PV;08637
Cimenná;Cimenná;Bánovce nad Bebravou;956 37;Zlatníky pri Bánovciach nad Bebravou;Zlatníky pri Bánov.;301;TC;95637
Cinobaòa;Cinobaòa;Poltár;985 22;Cinobaòa;Cinobaòa;607;BC;98522
Cunín;Cunín;Skalica;908 48;Kopèany;Kopèany;206;TA;90848
Èab;Èab;Nitra;951 24;Nové Sady pri Nitre;Nové Sady pri Nitre;403;NI;95124
Èabalovce;Èabalovce;Medzilaborce;067 16;Vırava;Vırava;705;PV;06716
Èabiny;Èabiny;Medzilaborce;067 02;Èabiny;Èabiny;705;PV;06702
Èabradskı Vrbovok;Èabradskı Vrbovok;Krupina;962 51;Èabradskı Vrbovok;Èabradskı Vrbovok;605;BC;96251
Èaèín;Èaèín;Banská Bystrica;974 01;Banská Bystrica 1;Banská Bystrica 1;601;BC;97401
Èáèov;Èáèov;Senica;905 01;Senica 1;Senica 1;205;TA;90501
Èadca;Èadca;Èadca;;;Pozri zoz.ulíc s PSÈ;502;ZI;
Èadca - Kyèerka;Èadca - Kyèerka;Èadca;022 04;Èadca 4;Èadca 4;502;ZI;02204
Èadeèka;Èadeèka;Èadca;022 01;Èadca 1;Èadca 1;502;ZI;02201
Èachtice;Èachtice;Nové Mesto n.Váhom;916 21;Èachtice;Èachtice;304;TC;91621
Èajakovo;Èajakovo;Levice;935 61;Hronovce;Hronovce;402;NI;93561
Èajkov;Èajkov;Levice;935 24;Èajkov;Èajkov;402;NI;93524
Èaka;Èaka;Levice;935 68;Èaka;Èaka;402;NI;93568
Èakajovce;Èakajovce;Nitra;951 43;Jelšovce;Jelšovce;403;NI;95143
Èakanovce;Èakanovce;Košice-okolie;044 45;Bidovce;Bidovce;806;KI;04445
Èakanovce;Èakanovce;Luèenec;985 58;Radzovce;Radzovce;606;BC;98558
Èakany;Èakany;Dunajská Streda;930 40;Štvrtok na Ostrove;Štvrtok na Ostrove;201;TA;93040
Èaklov;Èaklov;Vranov nad Top¾ou;094 35;So¾;So¾;713;PV;09435
Èalovec;Èalovec;Komárno;946 02;Èalovec;Èalovec;401;NI;94602
Èamovce;Èamovce;Luèenec;986 01;Fi¾akovo;Fi¾akovo;606;BC;98601
Èaòa;Èaòa;Košice-okolie;044 14;Èaòa;Èaòa;806;KI;04414
Èankov;Èankov;Levice;934 01;Levice 1;Levice 1;402;NI;93401
Èápor;Èápor;Nitra;951 17;Cabaj- Èápor;Cabaj- Èápor;403;NI;95117
Èaradice;Èaradice;Zlaté Moravce;953 01;Zlaté Moravce 1;Zlaté Moravce 1;407;NI;95301
Èáry;Èáry;Senica;908 43;Èáry;Èáry;205;TA;90843
Èastá;Èastá;Pezinok;900 89;Èastá;Èastá;107;BL;90089
Èásta;Èásta;Komárno;946 03;Kolárovo;Kolárovo;401;NI;94603
Èastkov;Èastkov;Senica;906 04;Rohov;Rohov;205;TA;90604
Èastkovce;Èastkovce;Nové Mesto n.Váhom;916 27;Èastkovce;Èastkovce;304;TC;91627
Èata;Èata;Levice;935 63;Èata;Èata;402;NI;93563
Èataj;Èataj;Senec;900 83;Èataj;Èataj;108;BL;90083
Èavoj;Èavoj;Prievidza;972 29;Èavoj;Èavoj;307;TC;97229
Èebovce;Èebovce;Ve¾kı Krtíš;991 25;Èebovce;Èebovce;610;BC;99125
Èeèehov;Èeèehov;Michalovce;072 11;Èeèehov;Èeèehov;807;KI;07211
Èeèejovce;Èeèejovce;Košice-okolie;044 71;Èeèejovce;Èeèejovce;806;KI;04471
Èeèínska Potôò;Èeèínska Potôò;Dunajská Streda;930 36;Horná Potôò;Horná Potôò;201;TA;93036
Èechánky;Èechánky;Detva;985 45;Látky;Látky;604;BC;98545
Èechová;Èechová;Dunajská Streda;930 34;Holice na Ostrove;Holice na Ostrove;201;TA;93034
Èechy;Èechy;Nové Zámky;941 32;Semerovo;Semerovo;404;NI;94132
Èechynce;Èechynce;Nitra;951 07;Èechynce;Èechynce;403;NI;95107
Èekovce;Èekovce;Krupina;962 41;Bzovík;Bzovík;605;BC;96241
Èe¾adice;Èe¾adice;Nitra;951 03;Èe¾adice;Èe¾adice;403;NI;95103
Èe¾adince;Èe¾adince;Topo¾èany;956 16;Nitrianska Streda;Nitrianska Streda;406;NI;95616
Èeláre;Èeláre;Ve¾kı Krtíš;991 22;Bušince;Bušince;610;BC;99122
Èelkova Lehota;Èelkova Lehota;Povaská Bystrica;018 16;Domania;Domania;306;TC;01816
Èelovce;Èelovce;Ve¾kı Krtíš;991 41;Èelovce;Èelovce;610;BC;99141
Èelovce;Èelovce;Prešov;082 14;Pušovce;Pušovce;707;PV;08214
Èe¾ovce;Èe¾ovce;Trebišov;076 17;Ninı ipov;Ninı ipov;811;KI;07617
Èemerné;Èemerné;Vranov nad Top¾ou;093 03;Vranov nad Top¾ou 3;Vranov nad Top¾ou 3;713;PV;09303
Èenkesfa;Èenkesfa;Dunajská Streda;929 01;Dunajská Streda 1;Dunajská Streda 1;201;TA;92901
Èenkov;Èenkov;Nové Zámky;943 52;Mula;Mula;404;NI;94352
Èenkovce;Èenkovce;Dunajská Streda;930 39;Zlaté Klasy;Zlaté Klasy;201;TA;93039
Èereòany;Èereòany;Prievidza;972 46;Èereòany;Èereòany;307;TC;97246
Èerenèany;Èerenèany;Rimavská Sobota;979 01;Rimavská Sobota 1;Rimavská Sobota 1;609;BC;97901
Èergov;Èergov;Komárno;945 01;Komárno 1;Komárno 1;401;NI;94501
Èerhát;Èerhát;Komárno;945 04;Komárno 4;Komárno 4;401;NI;94504
Èerhov;Èerhov;Trebišov;076 81;Èerhov;Èerhov;811;KI;07681
Èerín;Èerín;Banská Bystrica;974 01;Banská Bystrica 1;Banská Bystrica 1;601;BC;97401
Èermáò;Èermáò;Nitra;949 01;Nitra 1;Nitra 1;403;NI;94901
Èermany;Èermany;Topo¾èany;956 08;Horné Obdokovce;Horné Obdokovce;406;NI;95608
Èerník;Èerník;Nové Zámky;941 05;Èerník;Èerník;404;NI;94105
Èernina;Èernina;Humenné;067 23;Baškovce pri Humennom;Baškovce pri Humen.;702;PV;06723
Èernochov;Èernochov;Trebišov;076 32;Borša;Borša;811;KI;07632
Èernochov Vrch;Èernochov Vrch;Nové Mesto n.Váhom;916 01;Stará Turá;Stará Turá;304;TC;91601
Èernová;Èernová;Ruomberok;034 06;Ruomberok 6;Ruomberok 6;508;ZI;03406
Èertiné;Èertiné;Medzilaborce;067 52;Habura;Habura;705;PV;06752
Èerveò;Èerveò;Poltár;985 02;Breznièka;Breznièka;607;BC;98502
Èervená Skala;Èervená Skala;Brezno;976 71;Šumiac;Šumiac;603;BC;97671
Èervená Voda;Èervená Voda;Sabinov;083 01;Sabinov;Sabinov;708;PV;08301
Èerveòany;Èerveòany;Ve¾kı Krtíš;991 01;Senné;Senné;610;BC;99101
Èerveòany;Èerveòany;Revúca;049 64;Sirk;Sirk;608;BC;04964
Èervenica;Èervenica;Prešov;082 07;Tuhrina;Tuhrina;707;PV;08207
Èervenica pri Sabinove;Èervenica pri Sabin.;Sabinov;082 56;Peèovská Nová Ves;Peèovská Nová Ves;708;PV;08256
Èerveník;Èerveník;Hlohovec;920 42;Èerveník;Èerveník;203;TA;92042
Èervenı Hrádok;Èervenı Hrádok;Zlaté Moravce;951 82;Malé Vozokany;Malé Vozokany;407;NI;95182
Èervenı Kameò;Èervenı Kameò;Pezinok;900 89;Èastá;Èastá;107;BL;90089
Èervenı Kameò;Èervenı Kameò;Ilava;018 56;Èervenı Kameò;Èervenı Kameò;302;TC;01856
Èervenı Kláštor;Èervenı Kláštor;Kemarok;059 06;Èervenı Kláštor;Èervenı Kláštor;703;PV;05906
Èervenı Kláštor - kúpele;Èervenı Kláštor-kúp.;Kemarok;059 06;Èervenı Kláštor;Èervenı Kláštor;703;PV;05906
Èeské Brezovo;Èeské Brezovo;Poltár;985 03;Èeské Brezovo;Èeské Brezovo;607;BC;98503
Èiakov;Èiakov;Bytèa;013 54;Kolárovice;Kolárovice;501;ZI;01354
Èièarovce;Èièarovce;Michalovce;076 71;Èièarovce;Èièarovce;807;KI;07671
Èièava;Èièava;Vranov nad Top¾ou;093 01;Vranov nad Top¾ou 1;Vranov nad Top¾ou 1;713;PV;09301
Èièmany;Èièmany;ilina;013 15;Rajecká Lesná;Rajecká Lesná;511;ZI;01315
Èíèov;Èíèov;Komárno;946 19;Èíèov;Èíèov;401;NI;94619
Èierna;Èierna;Trebišov;076 43;Èierna nad Tisou;Èierna nad Tisou;811;KI;07643
Èierna Hora;Èierna Hora;Gelnica;053 33;Nálepkovo;Nálepkovo;801;KI;05333
Èierna Lehota;Èierna Lehota;Bánovce nad Bebravou;956 53;Slatina nad Bebravou;Slatina nad Bebravou;301;TC;95653
Èierna Lehota;Èierna Lehota;Roòava;049 36;Slavošovce;Slavošovce;808;KI;04936
Èierna nad Tisou;Èierna nad Tisou;Trebišov;076 43;Èierna nad Tisou;Èierna nad Tisou;811;KI;07643
Èierna Voda;Èierna Voda;Galanta;925 06;Èierna Voda;Èierna Voda;202;TA;92506
Èierne;Èierne;Èadca;023 13;Èierne pri Èadci;Èierne pri Èadci;502;ZI;02313
Èierne;Èierne;Èadca;023 56;Makov na Slovensku;Makov na Slovensku;502;ZI;02356
Èierne;Èierne;Bytèa;013 55;Štiavnik;Štiavnik;501;ZI;01355
Èierne K¾aèany;Èierne K¾aèany;Zlaté Moravce;953 05;Zlaté Moravce 5;Zlaté Moravce 5;407;NI;95305
Èierne nad Top¾ou;Èierne nad Top¾ou;Vranov nad Top¾ou;094 34;Bystré nad Top¾ou;Bystré nad Top¾ou;713;PV;09434
Èierne Pole;Èierne Pole;Michalovce;079 01;Ve¾ké Kapušany;Ve¾ké Kapušany;807;KI;07901
Èierny Balog;Èierny Balog;Brezno;976 52;Èierny Balog;Èierny Balog;603;BC;97652
Èierny Brod;Èierny Brod;Galanta;925 08;Èierny Brod;Èierny Brod;202;TA;92508
Èierny Chrbát;Èierny Chrbát;Komárno;946 03;Kolárovo;Kolárovo;401;NI;94603
Èierny Potok;Èierny Potok;Rimavská Sobota;980 31;Hodejov;Hodejov;609;BC;98031
Èierny Váh;Èierny Váh;Liptovskı Mikuláš;032 33;Krá¾ova Lehota;Krá¾ova Lehota;505;ZI;03233
Èifáre;Èifáre;Nitra;951 61;Èifáre;Èifáre;403;NI;95161
Èiky;Èiky;Nové Zámky;941 11;Palárikovo;Palárikovo;404;NI;94111
Èilistov;Èilistov;Dunajská Streda;931 01;Šamorín;Šamorín;201;TA;93101
Èiliská Radvaò;Èiliská Radvaò;Dunajská Streda;930 08;Èiliská Radvaò;Èiliská Radvaò;201;TA;93008
Èimhová;Èimhová;Tvrdošín;027 12;Liesek;Liesek;510;ZI;02712
Èirè;Èirè;Stará ¼ubovòa;065 42;Èirè;Èirè;710;PV;06542
Èí;Èí;Rimavská Sobota;980 43;Èí;Èí;609;BC;98043
Èí - kúpele;Èí - kúpele;Rimavská Sobota;980 43;Èí;Èí;609;BC;98043
Èiatice;Èiatice;Košice-okolie;044 47;Kecerovce;Kecerovce;806;KI;04447
